***|moderate
torment|mild
torture|moderate
tosser|moderate
traitor|mild
traitorous|mild
tramp|moderate
tran|mild
trannies|moderate
trans|mild
transgender|mild
transgenders|mild
transvestite|moderate
trappers|mild
trash|mild
trash-talk|mild
trashtalk|mild
treacherous|mild
treasonous|mild
trickster|mild
tripe|mild
trol|mild
troll|mild
trolls|mild
trump-as-useful-idiot|mild
trump-humpers|mild
trump-suckers|mild
trumpasusefulidiot|mild
trumpean|mild
trumphumpers|mild
trumpkin|mild
trumplers|mild
trumplodites|mild
trumpster|mild
trumpster's|mild
trumpsters|mild
trumpsuckers|mild
tupid|mild
turd|mild
tw4t|severe
twaddle|mild
twat|severe
twathead|severe
twatlips|severe
twats|severe
twatty|severe
twatwaffle|severe
twerps|mild
twit|mild
two-faces|mild
twofaced|mild
twunt|severe
twunter|severe
tyrant|mild
uck|severe
ugly|mild
un-deserving|mild
un-educatedoops|mild
un-smart|mild
unapologetic|mild
unappealing|mild
uncaring|mild
unclefucker|severe
undependable|mild
underhand|mild
undeserving|mild
uneducated|mild
unethical|mild
unfaithful|mild
ungrateful|mild
uninformed|mild
unintelligent|mild
unpatriotic|mild
unpayable|mild
unpopular|mild
unrational|mild
unredemptive|mild
unruly|mild
unscrupulous|mild
unsmart|mild
unstable|mild
untermensch|severe
unthank|mild
unthinking|mild
untruthful|mild
unwashed|mild
unwelcome|mild
urine|mild
useles|mild
useless|mild
v14gra|mild
v1gra|mild
va-j-j|mild
vacuous|mild
vag|moderate
vagabond|mild
vagina|mild
vagrancy|mild
vajayjay|mild
vandalize|mild
vanity|mild
vapidity|mild
vengeful|mild
vermin|mild
viagra|mild
vicious|mild
viciously|mild
vile|mild
vixen|mild
vjayjay|mild
voetsek|moderate
vomit|mild
vultures|mild
vulva|mild
w00se|mild
wacko|mild
wackos|mild
wang|moderate
wank|moderate
wanker|moderate
wankjob|moderate
wanky|moderate
warmongers|mild
weak|mild
weasel|mild
weenie|mild
weird|mild
weirdo|mild
wetback|severe
whack|mild
whackjob|mild
whacko|mild
whiner|mild
whiners|mild
whinny|mild
whiny|mild
white-trash|moderate
whitefragilitycankissmyass|moderate
whitetrash|moderate
whiteys|moderate
whoar|moderate
whore|moderate
whorebag|moderate
whoreface|moderate
whores|moderate
whres|moderate
willies|mild
willy|mild
wimp|mild
wimpy|mild
witch|mild
witless|mild
woman-hating|moderate
womanhating|moderate
wop|severe
workshy|mild
worthless|mild
wretched|mild
wtf|mild
wwiii|mild
xenophobe|moderate
xenophobes|moderate
xenophobia|moderate
xenophobic|moderate
xrated|mild
xxx|mild
yada|mild
yates|mild
yuck|mild
zealot|mild
zealots|mild
zombiespls|mild
small minded|mild
son of a bitch|moderate
