***|moderate
cuntass|severe
cuntface|severe
cunthole|severe
cuntlick |severe
cuntlicker|severe
cuntlicker |severe
cuntlicking |severe
cuntrag|severe
cunts|severe
cuntslut|severe
curmudgeon|mild
cursed|mild
cyalis|mild
cyberfuc|moderate
cyberfuck |moderate
cyberfucked |moderate
cyberfucker|moderate
cyberfuckers|moderate
cyberfucking |moderate
dck|moderate
dckhead|moderate
d-bag|moderate
d1ck|moderate
daft|mild
dago|severe
dammit|mild
damn|mild
damnable|mild
damned|mild
damning|mild
damnit|mild
darn|mild
darned|mild
dbag|moderate
dck|moderate
dead|mild
deadbeat|mild
dealer|mild
dealers|mild
deceitful|mild
deceptive|mild
degenerate|moderate
degenerates|moderate
deggo|moderate
deluded|mild
delusive|mild
demagogue|mild
demented|moderate
demon|mild
denglish|mild
deranged|moderate
despicable|mild
detest|mild
deviant|mild
deviants|mild
devil|mild
diaperheads|severe
dick|moderate
dick-sneeze|moderate
dickbag|moderate
dickbeaters|moderate
dickface|moderate
dickfuck|severe
dickfucker|severe
dickhead|moderate
dickhole|moderate
dickjuice|moderate
dickmilk|moderate
dickmonger|moderate
dicks|moderate
dickslap|moderate
dicksucker|severe
dicksucking|severe
dicktickler|moderate
dickwad|moderate
dickweasel|moderate
dickweed|moderate
dickwod|moderate
dictator|moderate
dictatorship|moderate
die-hard|mild
diehard|mild
dike|severe
dildo|moderate
dildos|moderate
dimwit|mild
dimwitted|mild
dink|moderate
dinks|moderate
dipshit|moderate
dirsa|mild
dirtbag|mild
dirty|mild
disease|mild
disgrace|mild
disgraceful|mild
disgust|mild
disgusted|mild
disgusti|mild
disgusting|mild
dishonest|mild
dlck|moderate
dog-fucker|severe
doggin|mild
dogging|moderate
dolt|mild
donkey|mild
donkeyribber|moderate
donkeys|mild
donutholes|mild
doochbag|moderate
doofu|mild
dookie|mild
doosh|moderate
dope|mild
dopers|mild
dork|mild
dotard|mild
douche|moderate
douche-fag|severe
douchebag|moderate
douchebags|moderate
douchewaffle|moderate
doyle|mild
drugged|mild
druggie|mild
drumpf|mild
drunken|mild
duche|moderate
duh|mild
dullard|mild
dumass|mild
dumb|mild
dumb ass|mild
dumbasses|mild
dumba|mild
dumbass|mild
dumbasses|mild
dumbed|mild
dumbed-down|mild
dumbeddown|mild
dumber|mild
dumbest|mild
dumbfuck|moderate
dumbie|mild
dumbness|mild
dumbs|mild
dumbshit|moderate
dumbweazy|mild
dummazz|mild
dummy|mild
dummycrats|mild
dumpster|mild
dumshit|moderate
dunce|mild
dunderheads|mild
duplicitous|mild
dweeb|mild
dweebs|mild
dyke|severe
eco-radicals|mild
ecoradicals|mild
egocentric|mild
egomaniac|mild
egotist|mild
egotistical|mild
ejaculate|moderate
ejaculated|moderate
ejaculates |moderate
ejaculating |moderate
ejaculatings|moderate
ejaculation|moderate
ejakulate|moderate
ell|mild
emasculated|mild
embarrassent|mild
embarrassmen|mild
embarrassment|mild
ent|mild
eradicated|moderate
estupidos|mild
evil|mild
excrement|mild
executed|moderate
executes|moderate
executioners|moderate
executions|moderate
expulsive|mild
exterminate|severe
exterminated|severe
extremist|mild
f|severe
f u c k|severe
f u c k e r|severe
f'king|severe
f'n|severe
f|severe
f******|severe
fing|severe
fing|severe
f**k|severe
fc*|severe
fck|severe
fckin|severe
fuck|severe
f-----g|severe
f--k|severe
f--king|severe
f-ing|severe
f-you|severe
f4nny|moderate
f_u_c_k|severe
fabricator|mild
fag|severe
fagbag|severe
fagfucker|severe
fagging|severe
faggit|severe
faggitt|severe
faggot|severe
faggotcock|severe
faggs|severe
fagot|severe
fagots|severe
fags|severe
fagtard|severe
fails|mild
fake|mild
fake-news|mild
fakenews|mild
fanatical|mild
fanatics|mild
fanboy|mild
fanny|moderate
fannyflaps|moderate
fannyfucker|severe
fanyy|moderate
fart|mild
fascist|moderate
fascists|moderate
fashy|moderate
fat|mild
fatass|moderate
fatties|mild
